generation,count,length
53,9,5
191,3,1
971,10,10
464,2,1
159,1,1
893,1,1
494,63,40
91,11,5
420,2,1
521,79,73
873,1128,0
31,12,9
847,1,1
754,29,1
594,2,1
409,1,1
671,2,1
667,47,20
376,2,2
173,114,77
940,43,32
507,2,1
626,12,5
873,243,180
853,23,13
454,122,51
191,17,11
853,85,1
537,221,58
419,118,93
853,1150,6
833,71,1
525,611,559
789,2,1
366,44,27
91,2,1
509,222,211
703,17,1
875,6,1
206,2,1
819,128,11
225,48,20
491,9,5
534,65,45
1051,950,0
507,42,5
525,1,1
445,66,26
336,210,154
689,7,5
191,2,1
1033,2,1
874,1,1
296,33,5
913,71,1
464,6,5
911,2,2
762,1,1
575,60,17
74,23,13
931,1070,0
227,2,2
388,1,1
160,23,1
325,24,13
869,8,5
53,2,1
633,14,10
171,3,1
497,89,21
851,22,15
206,15,8
156,37,27
191,170,28
416,26,16
929,3,1
1064,937,0
911,12,5
931,2,1
371,2,1
171,2,1
156,1,1
325,2,1
509,4,3
203,2,1
478,1,1
876,1125,0
813,54,16
305,2,1
261,36,10
781,24,1
686,133,10
781,27,5
919,1082,0
535,23,15
744,2,1
757,2,1
871,24,15
1010,1,1
897,2,1
491,3,1
173,92,89
906,56,10
849,74,1
297,1,1
689,3,1
774,83,10
333,27,15
594,45,41
255,2,1
571,36,22
203,111,100
1067,12,10
1028,13,10
238,1,1
667,5,1
520,2,1
520,62,10
540,64,26
849,191,21
620,44,12
31,2,2
680,15,10
873,2385,32
853,1,1
833,10,10
1028,2,2
409,28,26
774,417,26
633,1,1
159,21,19
376,96,74
653,27,16
253,16,10
261,22,1
858,2,2
713,1,1
535,5,2
336,2,1
789,10,5
160,34,5
