   ncalls  ,tottime,percall ,cumtime  , percall ,filename:lineno(function)
        1  ,  0.000,  0.000 ,  0.433  ,   0.433 ,<string>:1(<module>)
      427  ,  0.000,  0.000 ,  0.016  ,   0.000 ,__init__.py:1032(emit)
      427  ,  0.001,  0.000 ,  0.001  ,   0.000 ,__init__.py:118(getLevelName)
      427  ,  0.001,  0.000 ,  0.040  ,   0.000 ,__init__.py:1252(debug)
      427  ,  0.001,  0.000 ,  0.003  ,   0.000 ,__init__.py:1343(findCaller)
      427  ,  0.001,  0.000 ,  0.015  ,   0.000 ,__init__.py:1373(makeRecord)
      427  ,  0.001,  0.000 ,  0.039  ,   0.000 ,__init__.py:1388(_log)
      427  ,  0.001,  0.000 ,  0.020  ,   0.000 ,__init__.py:1411(handle)
      427  ,  0.001,  0.000 ,  0.019  ,   0.000 ,__init__.py:1465(callHandlers)
      427  ,  0.000,  0.000 ,  0.000  ,   0.000 ,__init__.py:149(<lambda>)
      427  ,  0.000,  0.000 ,  0.000  ,   0.000 ,__init__.py:1495(getEffectiveLevel)
      427  ,  0.000,  0.000 ,  0.001  ,   0.000 ,__init__.py:1509(isEnabledFor)
      427  ,  0.004,  0.000 ,  0.014  ,   0.000 ,__init__.py:243(__init__)
      427  ,  0.000,  0.000 ,  0.000  ,   0.000 ,__init__.py:319(getMessage)
      427  ,  0.000,  0.000 ,  0.000  ,   0.000 ,__init__.py:377(usesTime)
      427  ,  0.001,  0.000 ,  0.001  ,   0.000 ,__init__.py:380(format)
      427  ,  0.001,  0.000 ,  0.003  ,   0.000 ,__init__.py:485(formatTime)
      427  ,  0.000,  0.000 ,  0.001  ,   0.000 ,__init__.py:530(usesTime)
      427  ,  0.000,  0.000 ,  0.001  ,   0.000 ,__init__.py:536(formatMessage)
      427  ,  0.001,  0.000 ,  0.007  ,   0.000 ,__init__.py:552(format)
      854  ,  0.000,  0.000 ,  0.000  ,   0.000 ,__init__.py:693(filter)
      854  ,  0.001,  0.000 ,  0.001  ,   0.000 ,__init__.py:797(acquire)
      854  ,  0.000,  0.000 ,  0.001  ,   0.000 ,__init__.py:804(release)
      427  ,  0.000,  0.000 ,  0.007  ,   0.000 ,__init__.py:817(format)
      427  ,  0.001,  0.000 ,  0.018  ,   0.000 ,__init__.py:840(handle)
      427  ,  0.001,  0.000 ,  0.005  ,   0.000 ,__init__.py:955(flush)
      427  ,  0.001,  0.000 ,  0.016  ,   0.000 ,__init__.py:966(emit)
        2  ,  0.003,  0.002 ,  0.050  ,   0.025 ,automaton.py:22(log)
        1  ,  0.000,  0.000 ,  0.433  ,   0.433 ,automaton.py:41(update)
        2  ,  0.004,  0.002 ,  0.353  ,   0.177 ,automaton.py:54(update_step)
        2  ,  0.001,  0.000 ,  0.030  ,   0.015 ,automaton.py:67(swap)
      207  ,  0.001,  0.000 ,  0.001  ,   0.000 ,cars.py:23(clone)
      211  ,  0.000,  0.000 ,  0.000  ,   0.000 ,cars.py:9(__init__)
    84360  ,  0.040,  0.000 ,  0.040  ,   0.000 ,cellaut.py:43(normalize)
