density,flow
48,35
49,35
45,35
51,35
45,35
50,35
44,35
58,35
50,35
47,35
47,35
53,35
56,35
53,35
53,35
42,35
52,35
50,35
53,35
53,35
48,36
49,35
46,35
47,35
51,35
61,35
55,35
57,35
51,35
50,35
51,35
49,35
48,35
46,35
49,35
52,35
48,35
49,35
58,35
44,35
54,35
53,35
43,35
46,35
57,35
45,35
49,35
50,36
52,36
50,36
47,36
61,36
51,36
47,36
52,35
46,35
43,35
52,35
49,35
48,35
44,35
43,35
53,35
57,35
48,36
47,36
57,36
54,36
52,36
44,36
45,36
57,36
44,35
45,35
61,36
55,36
50,36
59,36
46,36
50,36
46,36
47,36
50,36
52,36
54,35
50,35
53,35
46,35
45,35
51,35
44,35
47,35
59,34
47,34
54,35
49,35
44,35
50,35
48,35
50,35
99,69
96,69
101,68
99,68
91,68
109,68
102,68
104,68
100,69
105,69
104,69
93,68
98,68
111,68
96,68
104,68
97,68
97,68
100,68
102,68
90,68
101,68
111,68
98,68
117,68
103,68
96,68
100,68
103,67
98,67
93,66
80,66
98,67
92,67
111,67
93,67
97,66
106,66
96,66
107,66
100,66
106,66
100,66
100,65
121,65
92,65
98,66
102,66
89,66
100,66
100,66
99,66
99,66
120,67
104,67
96,67
95,68
93,68
110,68
104,68
90,68
91,67
95,67
99,68
96,68
95,68
97,68
95,68
108,68
97,68
106,68
105,68
107,69
101,69
102,68
102,68
108,68
110,68
98,68
108,68
106,68
102,69
90,69
110,69
91,69
98,69
99,69
94,69
94,70
108,70
96,70
95,69
94,69
99,69
99,69
92,69
105,68
99,68
88,69
105,69
144,98
150,98
161,98
140,99
152,100
159,100
152,101
156,101
152,101
174,101
175,101
170,101
168,101
146,100
142,101
152,100
149,100
155,100
165,101
157,100
153,101
140,101
144,101
152,101
161,102
166,102
153,101
154,102
145,102
135,102
169,102
148,102
156,102
179,102
165,102
151,102
152,102
163,102
140,102
152,102
147,102
155,101
170,102
144,101
144,101
143,101
151,101
155,101
162,100
137,100
145,100
131,99
139,99
156,100
150,100
159,100
156,100
162,100
149,100
156,100
149,99
